,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
F05,y,DE344,pJUMP47-2A(pSC101),LB,40,2,LB|40ug,pJUMP47-2A(pSC101)|LB|40ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|LB|40ug
G05,y,DE344,pJUMP47-2A(pSC101),LB,40,3,LB|40ug,pJUMP47-2A(pSC101)|LB|40ug|3,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|LB|40ug
H05,y,DE344,pJUMP47-2A(pSC101),LB,40,4,LB|40ug,pJUMP47-2A(pSC101)|LB|40ug|4,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|LB|40ug
A06,y,DE344,pJUMP47-2A(pSC101),TB,40,0,TB|40ug,pJUMP47-2A(pSC101)|TB|40ug|0,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|TB|40ug
B06,y,DE344,pJUMP47-2A(pSC101),TB,40,1,TB|40ug,pJUMP47-2A(pSC101)|TB|40ug|1,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|TB|40ug
C06,y,DE344,pJUMP47-2A(pSC101),TB,40,2,TB|40ug,pJUMP47-2A(pSC101)|TB|40ug|2,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|TB|40ug
D06,y,DE344,pJUMP47-2A(pSC101),TB,40,3,TB|40ug,pJUMP47-2A(pSC101)|TB|40ug|3,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|TB|40ug
E06,y,DE344,pJUMP47-2A(pSC101),TB,40,4,TB|40ug,pJUMP47-2A(pSC101)|TB|40ug|4,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|TB|40ug
F06,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,0,EZRDM|40ug,pJUMP43-2A(pBBR1)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|EZRDM|40ug
G06,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,1,EZRDM|40ug,pJUMP43-2A(pBBR1)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|EZRDM|40ug
H06,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,2,EZRDM|40ug,pJUMP43-2A(pBBR1)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H6 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|EZRDM|40ug
A07,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,3,EZRDM|40ug,pJUMP43-2A(pBBR1)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|EZRDM|40ug
B07,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,4,EZRDM|40ug,pJUMP43-2A(pBBR1)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|EZRDM|40ug
C07,y,DE344,pJUMP43-2A(pBBR1),LB,40,0,LB|40ug,pJUMP43-2A(pBBR1)|LB|40ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|LB|40ug
D07,y,DE344,pJUMP43-2A(pBBR1),LB,40,1,LB|40ug,pJUMP43-2A(pBBR1)|LB|40ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|LB|40ug
E07,y,DE344,pJUMP43-2A(pBBR1),LB,40,2,LB|40ug,pJUMP43-2A(pBBR1)|LB|40ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|LB|40ug
F07,y,DE344,pJUMP43-2A(pBBR1),LB,40,3,LB|40ug,pJUMP43-2A(pBBR1)|LB|40ug|3,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|LB|40ug
G07,y,DE344,pJUMP43-2A(pBBR1),LB,40,4,LB|40ug,pJUMP43-2A(pBBR1)|LB|40ug|4,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|LB|40ug
H07,y,DE344,pJUMP43-2A(pBBR1),TB,40,0,TB|40ug,pJUMP43-2A(pBBR1)|TB|40ug|0,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H7 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|TB|40ug
A08,y,DE344,pJUMP43-2A(pBBR1),TB,40,1,TB|40ug,pJUMP43-2A(pBBR1)|TB|40ug|1,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|TB|40ug
B08,y,DE344,pJUMP43-2A(pBBR1),TB,40,2,TB|40ug,pJUMP43-2A(pBBR1)|TB|40ug|2,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|TB|40ug
C08,y,DE344,pJUMP43-2A(pBBR1),TB,40,3,TB|40ug,pJUMP43-2A(pBBR1)|TB|40ug|3,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|TB|40ug
