well,cells,host,samples,media,ind_c,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
J4,y,Marionette,PB2,EZRDM,100uM,40ug,0,MarionettePB2|100uM|0,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,J4 of 3 on Temperature Module GEN2 on 3,2023-06-04
K4,y,Marionette,PB2,EZRDM,100uM,40ug,1,MarionettePB2|100uM|1,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,K4 of 3 on Temperature Module GEN2 on 3,2023-06-04
L4,y,Marionette,PB2,EZRDM,100uM,40ug,2,MarionettePB2|100uM|2,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,L4 of 3 on Temperature Module GEN2 on 3,2023-06-04
M4,y,Marionette,PB2,EZRDM,125uM,40ug,0,MarionettePB2|125uM|0,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,M4 of 3 on Temperature Module GEN2 on 3,2023-06-04
N4,y,Marionette,PB2,EZRDM,125uM,40ug,1,MarionettePB2|125uM|1,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,N4 of 3 on Temperature Module GEN2 on 3,2023-06-04
O4,y,Marionette,PB2,EZRDM,125uM,40ug,2,MarionettePB2|125uM|2,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,O4 of 3 on Temperature Module GEN2 on 3,2023-06-04
P4,y,Marionette,PB2,EZRDM,150um,40ug,0,MarionettePB2|150um|0,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,P4 of 3 on Temperature Module GEN2 on 3,2023-06-04
A5,y,Marionette,PB2,EZRDM,150um,40ug,1,MarionettePB2|150um|1,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A5 of 3 on Temperature Module GEN2 on 3,2023-06-04
B5,y,Marionette,PB2,EZRDM,150um,40ug,2,MarionettePB2|150um|2,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B5 of 3 on Temperature Module GEN2 on 3,2023-06-04
C5,y,Marionette,PB3,EZRDM,0uM,40ug,0,MarionettePB3|0uM|0,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C5 of 3 on Temperature Module GEN2 on 3,2023-06-04
D5,y,Marionette,PB3,EZRDM,0uM,40ug,1,MarionettePB3|0uM|1,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D5 of 3 on Temperature Module GEN2 on 3,2023-06-04
E5,y,Marionette,PB3,EZRDM,0uM,40ug,2,MarionettePB3|0uM|2,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E5 of 3 on Temperature Module GEN2 on 3,2023-06-04
F5,y,Marionette,PB3,EZRDM,10uM,40ug,0,MarionettePB3|10uM|0,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F5 of 3 on Temperature Module GEN2 on 3,2023-06-04
G5,y,Marionette,PB3,EZRDM,10uM,40ug,1,MarionettePB3|10uM|1,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G5 of 3 on Temperature Module GEN2 on 3,2023-06-04
H5,y,Marionette,PB3,EZRDM,10uM,40ug,2,MarionettePB3|10uM|2,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H5 of 3 on Temperature Module GEN2 on 3,2023-06-04
I5,y,Marionette,PB3,EZRDM,25uM,40ug,0,MarionettePB3|25uM|0,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I5 of 3 on Temperature Module GEN2 on 3,2023-06-04
J5,y,Marionette,PB3,EZRDM,25uM,40ug,1,MarionettePB3|25uM|1,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,J5 of 3 on Temperature Module GEN2 on 3,2023-06-04
K5,y,Marionette,PB3,EZRDM,25uM,40ug,2,MarionettePB3|25uM|2,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,K5 of 3 on Temperature Module GEN2 on 3,2023-06-04
L5,y,Marionette,PB3,EZRDM,50uM,40ug,0,MarionettePB3|50uM|0,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,L5 of 3 on Temperature Module GEN2 on 3,2023-06-04
M5,y,Marionette,PB3,EZRDM,50uM,40ug,1,MarionettePB3|50uM|1,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,M5 of 3 on Temperature Module GEN2 on 3,2023-06-04
N5,y,Marionette,PB3,EZRDM,50uM,40ug,2,MarionettePB3|50uM|2,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,N5 of 3 on Temperature Module GEN2 on 3,2023-06-04
O5,y,Marionette,PB3,EZRDM,75uM,40ug,0,MarionettePB3|75uM|0,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,O5 of 3 on Temperature Module GEN2 on 3,2023-06-04
P5,y,Marionette,PB3,EZRDM,75uM,40ug,1,MarionettePB3|75uM|1,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,P5 of 3 on Temperature Module GEN2 on 3,2023-06-04
A6,y,Marionette,PB3,EZRDM,75uM,40ug,2,MarionettePB3|75uM|2,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A6 of 3 on Temperature Module GEN2 on 3,2023-06-04
B6,y,Marionette,PB3,EZRDM,100uM,40ug,0,MarionettePB3|100uM|0,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B6 of 3 on Temperature Module GEN2 on 3,2023-06-04
C6,y,Marionette,PB3,EZRDM,100uM,40ug,1,MarionettePB3|100uM|1,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C6 of 3 on Temperature Module GEN2 on 3,2023-06-04
D6,y,Marionette,PB3,EZRDM,100uM,40ug,2,MarionettePB3|100uM|2,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D6 of 3 on Temperature Module GEN2 on 3,2023-06-04
E6,y,Marionette,PB3,EZRDM,125uM,40ug,0,MarionettePB3|125uM|0,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E6 of 3 on Temperature Module GEN2 on 3,2023-06-04
F6,y,Marionette,PB3,EZRDM,125uM,40ug,1,MarionettePB3|125uM|1,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F6 of 3 on Temperature Module GEN2 on 3,2023-06-04
G6,y,Marionette,PB3,EZRDM,125uM,40ug,2,MarionettePB3|125uM|2,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G6 of 3 on Temperature Module GEN2 on 3,2023-06-04
H6,y,Marionette,PB3,EZRDM,150um,40ug,0,MarionettePB3|150um|0,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H6 of 3 on Temperature Module GEN2 on 3,2023-06-04
I6,y,Marionette,PB3,EZRDM,150um,40ug,1,MarionettePB3|150um|1,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I6 of 3 on Temperature Module GEN2 on 3,2023-06-04
