,cells,host,samples,media,abx_c,replicate,sample_ID,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
G08,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,2,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
H08,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,3,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
A09,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,4,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
B09,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,5,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
C09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,0,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
D09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,1,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
E09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,2,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
F09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,3,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
G09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,4,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
H09,y,DH5a,pJUMP46-2A(p15A),EZRDM,40,5,DH5a|pJUMP46-2A(p15A),EZRDM|40ug,DH5a|pJUMP46-2A(p15A)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H9 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP46-2A(p15A)
E11,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,0,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E11 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
F11,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,1,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F11 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
G11,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,2,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G11 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
H11,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,3,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H11 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
A12,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,4,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A12 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
B12,y,DH5a,pJUMP48-2A(pUC),EZRDM,40,5,DH5a|pJUMP48-2A(pUC),EZRDM|40ug,DH5a|pJUMP48-2A(pUC)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B12 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP48-2A(pUC)
