wavelength,excitation,dichroic,emission
347.4,1.78E-07,4.20E-05,1.00E-07
347.6,1.93E-07,4.24E-05,1.00E-07
347.8,2.10E-07,4.29E-05,1.00E-07
348,2.28E-07,4.33E-05,1.00E-07
348.2,2.47E-07,4.37E-05,1.00E-07
348.4,2.68E-07,4.42E-05,1.00E-07
348.6,2.91E-07,4.44E-05,1.00E-07
348.8,3.16E-07,4.45E-05,1.00E-07
349,3.43E-07,4.45E-05,1.00E-07
349.2,3.73E-07,4.43E-05,1.00E-07
349.4,4.05E-07,4.40E-05,1.00E-07
349.6,4.39E-07,4.35E-05,1.00E-07
349.8,4.77E-07,4.29E-05,1.00E-07
350,5.18E-07,4.26E-05,1.00E-07
350.2,5.62E-07,4.21E-05,1.00E-07
350.4,6.10E-07,4.18E-05,1.00E-07
350.6,6.62E-07,4.16E-05,1.08E-07
350.8,7.19E-07,4.17E-05,1.20E-07
351,7.79E-07,4.20E-05,1.33E-07
351.2,7.17E-07,4.24E-05,1.48E-07
351.4,6.61E-07,4.29E-05,1.65E-07
351.6,6.09E-07,4.36E-05,1.84E-07
351.8,5.61E-07,4.44E-05,2.04E-07
352,5.16E-07,4.52E-05,2.27E-07
352.2,4.76E-07,4.60E-05,2.53E-07
352.4,4.38E-07,4.66E-05,2.82E-07
352.6,4.04E-07,4.72E-05,3.13E-07
352.8,3.72E-07,4.74E-05,3.49E-07
353,3.43E-07,4.75E-05,3.88E-07
353.2,3.16E-07,4.72E-05,4.32E-07
353.4,2.91E-07,4.69E-05,4.81E-07
353.6,2.68E-07,4.62E-05,5.35E-07
353.8,2.47E-07,4.56E-05,5.95E-07
354,2.27E-07,4.47E-05,6.63E-07
354.2,2.09E-07,4.38E-05,7.34E-07
354.4,1.93E-07,4.30E-05,7.59E-07
354.6,1.78E-07,4.23E-05,7.85E-07
354.8,1.64E-07,4.16E-05,8.12E-07
355,1.51E-07,4.10E-05,8.39E-07
355.2,1.39E-07,4.06E-05,8.68E-07
355.4,1.28E-07,4.03E-05,8.97E-07
355.6,1.18E-07,0.00056562,9.28E-07
355.8,1.08E-07,0.00115,9.59E-07
356,1.00E-07,0.00141,9.92E-07
356.2,1.06E-07,0.00154,1.03E-06
356.4,1.12E-07,0.00173,1.06E-06
356.6,1.18E-07,0.00157,1.10E-06
356.8,1.25E-07,0.0012,1.13E-06
357,1.32E-07,0.00077098,1.17E-06
357.2,1.40E-07,0.00015049,1.21E-06
357.4,1.48E-07,4.18E-05,1.25E-06
357.6,1.56E-07,4.22E-05,1.30E-06
357.8,1.65E-07,4.26E-05,1.34E-06
358,1.75E-07,4.31E-05,1.28E-06
358.2,1.85E-07,4.36E-05,1.12E-06
358.4,1.96E-07,4.43E-05,9.75E-07
358.6,2.07E-07,4.47E-05,8.50E-07
358.8,2.19E-07,4.52E-05,7.41E-07
359,2.31E-07,4.56E-05,6.46E-07
359.2,2.44E-07,4.59E-05,5.63E-07
359.4,2.58E-07,4.59E-05,4.91E-07
359.6,2.73E-07,4.58E-05,4.28E-07
359.8,2.89E-07,4.55E-05,3.73E-07
360,3.06E-07,4.51E-05,3.25E-07
360.2,3.23E-07,4.45E-05,2.84E-07
360.4,3.42E-07,4.39E-05,2.47E-07
360.6,3.61E-07,4.36E-05,2.16E-07
360.8,3.82E-07,4.33E-05,1.88E-07
361,4.04E-07,4.32E-05,1.64E-07
361.2,4.10E-07,4.36E-05,1.43E-07
361.4,4.17E-07,4.44E-05,1.25E-07
361.6,4.23E-07,4.56E-05,1.09E-07
361.8,4.30E-07,4.74E-05,1.20E-07
362,4.36E-07,4.96E-05,1.39E-07
362.2,4.43E-07,5.22E-05,1.61E-07
362.4,4.50E-07,5.50E-05,1.87E-07
362.6,4.57E-07,5.80E-05,2.16E-07
362.8,4.64E-07,6.09E-05,2.51E-07
363,4.71E-07,6.37E-05,2.90E-07
363.2,4.79E-07,6.60E-05,3.36E-07
363.4,4.86E-07,6.78E-05,3.90E-07
363.6,4.94E-07,6.91E-05,4.52E-07
363.8,5.01E-07,6.99E-05,5.23E-07
364,5.09E-07,7.01E-05,6.06E-07
364.2,5.17E-07,6.94E-05,7.02E-07
364.4,5.25E-07,6.84E-05,8.13E-07
364.6,5.33E-07,6.73E-05,9.42E-07
364.8,5.42E-07,6.59E-05,1.09E-06
365,5.50E-07,6.64E-05,1.26E-06
365.2,5.59E-07,6.76E-05,9.70E-07
365.4,5.67E-07,6.70E-05,7.44E-07
365.6,5.76E-07,6.70E-05,5.71E-07
365.8,5.85E-07,6.74E-05,4.38E-07
366,5.94E-07,6.78E-05,3.36E-07
366.2,6.02E-07,6.82E-05,2.58E-07
366.4,6.09E-07,6.81E-05,1.98E-07
366.6,6.16E-07,6.75E-05,1.52E-07
366.8,6.24E-07,6.65E-05,1.16E-07
367,6.31E-07,6.59E-05,1.00E-07
367.2,6.39E-07,6.56E-05,1.00E-07
367.4,6.47E-07,6.58E-05,1.00E-07
367.6,6.54E-07,6.62E-05,1.00E-07
367.8,6.62E-07,6.64E-05,1.00E-07
368,6.70E-07,6.64E-05,1.00E-07
368.2,6.78E-07,6.59E-05,1.00E-07
368.4,6.87E-07,6.54E-05,1.00E-07
368.6,6.95E-07,6.49E-05,1.00E-07
368.8,7.03E-07,6.44E-05,1.00E-07
369,7.12E-07,6.43E-05,1.00E-07
369.2,7.20E-07,6.43E-05,1.00E-07
369.4,7.29E-07,6.43E-05,1.00E-07
369.6,7.38E-07,6.43E-05,1.00E-07
369.8,7.47E-07,6.41E-05,1.00E-07
370,7.56E-07,0.00025248,1.00E-07
370.2,7.65E-07,0.00044116,1.00E-07
370.4,7.74E-07,0.00047937,1.00E-07
370.6,7.84E-07,0.00063356,1.00E-07
370.8,7.93E-07,0.00084463,1.00E-07
371,8.03E-07,0.00096845,1.00E-07
371.2,8.15E-07,0.00094718,1.00E-07
371.4,8.27E-07,0.00106,1.00E-07
371.6,8.39E-07,0.00094094,1.00E-07
