,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
D07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,0,pJUMP46-2A(p15A)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D7 of 3 on Temperature Module GEN2 on 3,25/09/2022
E07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,1,pJUMP46-2A(p15A)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E7 of 3 on Temperature Module GEN2 on 3,25/09/2022
F07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,2,pJUMP46-2A(p15A)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F7 of 3 on Temperature Module GEN2 on 3,25/09/2022
G07,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,0,pJUMP46-2A(p15A)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G7 of 3 on Temperature Module GEN2 on 3,25/09/2022
H07,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,1,pJUMP46-2A(p15A)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H7 of 3 on Temperature Module GEN2 on 3,25/09/2022
A08,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,2,pJUMP46-2A(p15A)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A8 of 3 on Temperature Module GEN2 on 3,25/09/2022
B08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,0,pJUMP46-2A(p15A)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B8 of 3 on Temperature Module GEN2 on 3,25/09/2022
C08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,1,pJUMP46-2A(p15A)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C8 of 3 on Temperature Module GEN2 on 3,25/09/2022
D08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,2,pJUMP46-2A(p15A)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D8 of 3 on Temperature Module GEN2 on 3,25/09/2022
E08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,0,pJUMP46-2A(p15A)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E8 of 3 on Temperature Module GEN2 on 3,25/09/2022
