,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date,samples_id
A08,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,2,pJUMP46-2A(p15A)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|25ug
B08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,0,pJUMP46-2A(p15A)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|50ug
C08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,1,pJUMP46-2A(p15A)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|50ug
D08,y,DH5a,pJUMP46-2A(p15A),EZRDM,50,2,pJUMP46-2A(p15A)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|50ug
E08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,0,pJUMP46-2A(p15A)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|75ug
F08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,1,pJUMP46-2A(p15A)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|75ug
G08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,2,pJUMP46-2A(p15A)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|75ug
H08,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,0,pJUMP46-2A(p15A)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H8 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|100ug
A09,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,1,pJUMP46-2A(p15A)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A9 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|100ug
B09,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,2,pJUMP46-2A(p15A)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B9 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|100ug
B11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,0,pJUMP48-2A(pUC)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|0ug
C11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,1,pJUMP48-2A(pUC)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|0ug
D11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,2,pJUMP48-2A(pUC)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|0ug
E11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,0,pJUMP48-2A(pUC)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|25ug
F11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,1,pJUMP48-2A(pUC)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|25ug
G11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,2,pJUMP48-2A(pUC)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|25ug
H11,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,0,pJUMP48-2A(pUC)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H11 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|50ug
A12,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,1,pJUMP48-2A(pUC)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|50ug
B12,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,2,pJUMP48-2A(pUC)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|50ug
C12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,0,pJUMP48-2A(pUC)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|75ug
D12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,1,pJUMP48-2A(pUC)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|75ug
E12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,2,pJUMP48-2A(pUC)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|75ug
F12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,0,pJUMP48-2A(pUC)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|100ug
G12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,1,pJUMP48-2A(pUC)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|100ug
H12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,2,pJUMP48-2A(pUC)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,H1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H12 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP48-2A(pUC)|100ug
